date,open,high,low,close,volume,dividends,stock_splits,kd_k,kd_d,bias_5,bias_10,bias_20
2026-05-08,289.7430674686918,294.4886952888782,289.7330669166447,293.0500183105469,52692800,0.0,0.0,84.55,76.76,2.61,5.11,7.29
2026-05-11,291.9800109863281,293.8800048828125,290.2300109863281,292.67999267578125,42247300,0.27,0.0,87.5,80.34,1.34,4.04,6.5
2026-05-12,292.5599975585937,295.2699890136719,292.5599975585937,294.79998779296875,45748100,0.0,0.0,91.09,83.93,1.31,3.91,6.57
2026-05-13,293.5,300.9200134277344,293.5,298.8699951171875,52684300,0.0,0.0,91.46,86.44,1.89,4.29,7.41
2026-05-14,299.82000732421875,300.45001220703125,295.3800048828125,298.2099914550781,35324900,0.0,0.0,90.88,87.92,0.91,3.09,6.51
2026-05-15,297.8999938964844,303.20001220703125,296.5199890136719,300.2300109863281,54862800,0.0,0.0,90.24,88.69,1.1,3.07,6.66
2026-05-18,300.239990234375,300.6600036621094,294.9100036621094,297.8399963378906,34483000,0.0,0.0,85.52,87.63,-0.05,1.51,5.35
2026-05-19,296.9700012207031,300.510009765625,296.3500061035156,298.9700012207031,42243600,0.0,0.0,82.37,85.88,0.05,1.38,5.14
2026-05-20,298.17999267578125,302.79998779296875,298.0799865722656,302.25,38229800,0.0,0.0,85.9,85.89,0.92,1.97,5.75
2026-05-21,301.0599975585937,305.5400085449219,300.3999938964844,304.989990234375,42965100,0.0,0.0,89.4,87.06,1.37,2.28,6.12
2026-05-22,306.1199951171875,311.3999938964844,305.8399963378906,308.82000732421875,43670200,0.0,0.0,88.37,87.49,2.06,3.02,6.75
2026-05-26,309.5599975585937,311.82000732421875,307.6700134277344,308.3299865722656,48000500,0.0,0.0,85.9,86.96,1.2,2.32,5.84
2026-05-27,308.3299865722656,313.260009765625,308.29998779296875,310.8500061035156,50430900,0.0,0.0,86.22,86.71,1.24,2.61,5.98
2026-05-28,310.67999267578125,312.79998779296875,309.57000732421875,312.510009765625,48220400,0.0,0.0,89.45,87.63,1.1,2.7,5.78
2026-05-29,311.7799987792969,315.0,309.5299987792969,312.0599975585937,70026800,0.0,0.0,88.09,87.78,0.5,2.09,4.9
2026-06-01,309.6300048828125,310.94000244140625,305.0199890136719,306.3099975585937,48849900,0.0,0.0,76.53,84.03,-1.19,0.01,2.52
2026-06-02,307.4599914550781,315.45001220703125,306.69000244140625,315.20001220703125,44534700,0.0,0.0,83.87,83.98,1.22,2.33,4.82
2026-06-03,314.17999267578125,316.94000244140625,308.8500061035156,310.260009765625,50836700,0.0,0.0,75.79,81.25,-0.32,0.36,2.72
2026-06-04,313.2300109863281,313.5400085449219,309.6499938964844,311.2300109863281,44869100,0.0,0.0,67.89,76.79,0.07,0.38,2.64
2026-06-05,312.8599853515625,315.1700134277344,307.1499938964844,307.3399963378906,65310500,0.0,0.0,51.75,68.45,-0.88,-0.95,1.02
2026-06-08,308.739990234375,317.3999938964844,301.1700134277344,301.5400085449219,77949100,0.0,0.0,35.26,57.38,-2.45,-2.59,-1.03
2026-06-09,300.2799987792969,300.75,287.7799987792969,290.54998779296875,70108800,0.0,0.0,26.62,47.13,-4.48,-5.6,-4.6
2026-06-10,290.739990234375,294.75,287.3800048828125,291.5799865722656,52793300,0.0,0.0,22.41,38.89,-2.95,-4.67,-4.21
2026-06-11,293.7200012207031,297.0,289.5899963378906,295.6300048828125,42523300,0.0,0.0,24.1,33.96,-0.57,-2.81,-2.83
